map,wait_time_s,ping,kills,assists,deaths,mvps,hs_percent,points,result
Overpass,325.0,0.0,7.0,0.0,15.0,0.0,14.0,17.0,Lost
Mirage,290.0,86.0,18.0,5.0,25.0,2.0,22.0,49.0,Lost
Mirage,256.0,159.0,9.0,7.0,23.0,1.0,22.0,30.0,Win
Mirage,258.0,88.0,11.0,12.0,18.0,1.0,45.0,40.0,Win
Dust II,116.0,97.0,19.0,4.0,19.0,1.0,10.0,51.0,Lost
Cache,30.0,152.0,25.0,6.0,18.0,2.0,28.0,62.0,Lost
Dust II,141.0,164.0,15.0,7.0,13.0,2.0,13.0,37.0,Win
Cache,252.0,141.0,14.0,6.0,16.0,1.0,21.0,39.0,Win
Dust II,96.0,140.0,27.0,7.0,20.0,4.0,37.0,65.0,Lost
Dust II,286.0,87.0,10.0,3.0,21.0,1.0,30.0,23.0,Lost
Mirage,267.0,87.0,16.0,6.0,21.0,2.0,31.0,40.0,Lost
Dust II,342.0,79.0,13.0,4.0,15.0,2.0,23.0,31.0,Win
Dust II,391.0,82.0,12.0,4.0,24.0,2.0,23.0,30.0,Lost
Cache,192.0,83.0,16.0,7.0,23.0,1.0,37.0,42.0,Lost
Mirage,249.0,80.0,16.0,3.0,19.0,2.0,25.0,41.0,Lost
Dust II,290.0,79.0,28.0,5.0,20.0,4.0,25.0,64.0,Tie
Dust II,55.0,85.0,7.0,5.0,13.0,2.0,14.0,19.0,Win
Mirage,243.0,0.0,5.0,3.0,14.0,0.0,40.0,13.0,Lost
Dust II,315.0,82.0,19.0,7.0,23.0,4.0,36.0,48.0,Lost
Mirage,316.0,88.0,5.0,1.0,16.0,1.0,0.0,17.0,Lost
Dust II,317.0,109.0,16.0,4.0,15.0,2.0,31.0,36.0,Win
Mirage,390.0,87.0,11.0,4.0,19.0,1.0,9.0,31.0,Lost
Dust II,435.0,101.0,15.0,3.0,19.0,3.0,26.0,45.0,Lost
Mirage,236.0,85.0,23.0,2.0,17.0,4.0,4.0,53.0,Lost
Mirage,137.0,103.0,26.0,8.0,19.0,6.0,15.0,63.0,Win
Dust II,187.0,102.0,10.0,0.0,17.0,0.0,20.0,22.0,Lost
Dust II,119.0,154.0,22.0,4.0,22.0,3.0,18.0,55.0,Lost
Mirage,269.0,81.0,17.0,6.0,12.0,3.0,23.0,54.0,Win
Inferno,112.0,81.0,22.0,4.0,17.0,3.0,22.0,52.0,Lost
Mirage,129.0,0.0,10.0,3.0,22.0,0.0,20.0,31.0,Lost
Inferno,412.0,86.0,14.0,7.0,20.0,3.0,28.0,40.0,Lost
Mirage,335.0,82.0,14.0,4.0,18.0,0.0,21.0,39.0,Lost
Mirage,48.0,84.0,19.0,7.0,21.0,3.0,31.0,51.0,Win
Mirage,348.0,90.0,14.0,6.0,24.0,4.0,35.0,37.0,Lost
Dust II,380.0,77.0,17.0,2.0,22.0,1.0,29.0,41.0,Win
